Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
D3,NSR0320,D_SOD-323F,-105.4,-103.8,90,bottom
,,52b86674-39ac-4791-87c9-d1ce4ecf49a0,133.05,-102.575,-90,top
AE1,2450AT18A100E,ANTC3216X140N,113.25,-92.75,180,top
C1,1u,C_0402_1005Metric,121,-94.5,90,top
C2,0.1u,C_0402_1005Metric,120,-94.5,90,top
C3,3.3p,C_0402_1005Metric,116.25,-94.25,-135,top
C4,3.3p,C_0402_1005Metric,118.5,-96.5,-135,top
C5,0.1u,C_0402_1005Metric,116.6,-98,180,top
C6,0.1u,C_0402_1005Metric,116.6,-99,180,top
C7,1u,C_0402_1005Metric,118.85,-103,-90,top
C8,10u,C_0603_1608Metric,117.35,-103.6,-90,top
C9,0.1u,C_0402_1005Metric,125,-94.5,90,top
C10,0.1u,C_0402_1005Metric,123.875,-104.5,0,top
C11,1u,C_0402_1005Metric,118.4,-100.1,180,top
C12,1u,C_0402_1005Metric,109.4,-101.6,180,top
C13,1u,C_0402_1005Metric,115.85,-103.5,-90,top
C14,12p,C_0402_1005Metric,121,-92.48,90,top
C15,12p,C_0402_1005Metric,125,-92.5,-90,top
C16,1u,C_0402_1005Metric,128.75,-99.25,90,top
D1,NSR0320,D_SOD-323F,107.5,-103.8,90,top
D2,NSR0320,D_SOD-323F,109.5,-103.8,90,top
J1,USB_A,USB_A_CNCTech_1001-011-01101_Horizontal,94.7,-98.75,180,top
L1,2.2nH,L_0402_1005Metric,117.75,-95,-45,top
L2,2.2nH,L_0402_1005Metric,118.1,-98.5,-90,top
P1,USB_C_Plug,USB_C_Plug_Molex_105444,133.05,-98.75,-90,top
R1,0,R_0402_1005Metric,122.5,-94.75,0,top
R2,10k,R_0402_1005Metric,118.4,-101.3,0,top
R3,0,R_0402_1005Metric,127,-105.5,0,top
R4,0,R_0402_1005Metric,127,-104.5,0,top
R5,5k1,R_0402_1005Metric,130.3,-97.1,90,top
R6,DNP,R_0402_1005Metric,130.3,-102.3,-90,top
R7,DNP,R_0402_1005Metric,128.75,-97.1,90,top
SW1,RESET,SW_SPST_PTS810,113,-97.75,90,top
SW2,BOOT,SW_SPST_PTS810,108.75,-97.75,90,top
U1,AP2112K-3.3,SOT-23-5,113.1,-104,0,top
U2,ESP32-S3FN8,QFN40P700X700X90-57N,124,-99.75,0,top
U3,WS2812-2020,LED_WS2812-2020,128.865,-93.8,180,top
Y1,40MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,123,-92.75,0,top
